vote_choice,gender,race,age,ideology,party_id,pol_interest,church_attendance,discuss_politics,race_text,gender_text,age_text,ideology_text,party_id_text,church_attendance_text,pol_interest_text,discuss_politics_text,user_content,assistant_content
1,2,1,28,2,1,2,2,1,white,woman,28,liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 28 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,1,1,67,4,4,2,1,1,white,man,67,moderate,an independent,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 67 years old. Ideologically, I am moderate. Politically, I am an independent. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,72,5,4,1,2,1,white,woman,72,slightly conservative,an independent,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 72 years old. Ideologically, I am slightly conservative. Politically, I am an independent. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,29,4,4,3,2,1,white,woman,29,moderate,an independent,do not attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 29 years old. Ideologically, I am moderate. Politically, I am an independent. I do not attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,1,1,57,3,6,2,1,1,white,man,57,slightly liberal,not a very strong Republican,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 57 years old. Ideologically, I am slightly liberal. Politically, I am not a very strong Republican. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,2,1,53,4,4,3,1,1,white,woman,53,moderate,an independent,attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 53 years old. Ideologically, I am moderate. Politically, I am an independent. I attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,62,2,1,2,1,1,white,woman,62,liberal,a strong Democrat,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 62 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,1,1,77,5,5,2,1,1,white,man,77,slightly conservative,an independent Republican,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 77 years old. Ideologically, I am slightly conservative. Politically, I am an independent Republican. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,2,1,80,6,5,2,2,1,white,woman,80,conservative,an independent Republican,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 80 years old. Ideologically, I am conservative. Politically, I am an independent Republican. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,2,1,55,5,6,2,2,1,white,woman,55,slightly conservative,not a very strong Republican,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 55 years old. Ideologically, I am slightly conservative. Politically, I am not a very strong Republican. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,19,2,1,3,2,1,white,woman,19,liberal,a strong Democrat,do not attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 19 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,1,1,59,6,6,2,1,1,white,man,59,conservative,not a very strong Republican,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 59 years old. Ideologically, I am conservative. Politically, I am not a very strong Republican. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,1,1,25,2,2,1,2,1,white,man,25,liberal,not a very strong Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 25 years old. Ideologically, I am liberal. Politically, I am not a very strong Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,62,2,1,1,2,1,white,woman,62,liberal,a strong Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 62 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,1,1,50,7,7,2,1,1,white,man,50,extremely conservative,a strong Republican,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 50 years old. Ideologically, I am extremely conservative. Politically, I am a strong Republican. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,41,2,1,2,2,1,white,woman,41,liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 41 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,49,2,1,2,2,1,white,woman,49,liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 49 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,53,4,7,3,1,1,white,woman,53,moderate,a strong Republican,attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 53 years old. Ideologically, I am moderate. Politically, I am a strong Republican. I attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,59,4,5,3,1,1,white,woman,59,moderate,an independent Republican,attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 59 years old. Ideologically, I am moderate. Politically, I am an independent Republican. I attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,80,3,1,1,1,1,white,man,80,slightly liberal,a strong Democrat,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 80 years old. Ideologically, I am slightly liberal. Politically, I am a strong Democrat. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,68,3,1,1,2,1,white,man,68,slightly liberal,a strong Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 68 years old. Ideologically, I am slightly liberal. Politically, I am a strong Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,80,2,1,1,2,1,white,man,80,liberal,a strong Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 80 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,37,2,1,1,2,1,white,woman,37,liberal,a strong Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 37 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,41,6,7,2,1,1,white,woman,41,conservative,a strong Republican,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 41 years old. Ideologically, I am conservative. Politically, I am a strong Republican. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,2,1,66,7,7,3,1,1,white,woman,66,extremely conservative,a strong Republican,attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 66 years old. Ideologically, I am extremely conservative. Politically, I am a strong Republican. I attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,30,2,1,2,2,1,white,woman,30,liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 30 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,22,3,2,2,2,1,white,man,22,slightly liberal,not a very strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 22 years old. Ideologically, I am slightly liberal. Politically, I am not a very strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,56,3,1,1,2,1,white,woman,56,slightly liberal,a strong Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 56 years old. Ideologically, I am slightly liberal. Politically, I am a strong Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,48,4,1,2,1,1,white,man,48,moderate,a strong Democrat,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 48 years old. Ideologically, I am moderate. Politically, I am a strong Democrat. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,23,5,5,3,1,1,white,woman,23,slightly conservative,an independent Republican,attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 23 years old. Ideologically, I am slightly conservative. Politically, I am an independent Republican. I attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,1,1,67,6,5,1,2,1,white,man,67,conservative,an independent Republican,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 67 years old. Ideologically, I am conservative. Politically, I am an independent Republican. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,55,2,1,2,2,1,white,woman,55,liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 55 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,3,38,1,3,1,2,1,hispanic,woman,38,extremely liberal,an independent Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am hispanic. I am a woman. I am 38 years old. Ideologically, I am extremely liberal. Politically, I am an independent Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,53,7,7,1,1,1,white,woman,53,extremely conservative,a strong Republican,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 53 years old. Ideologically, I am extremely conservative. Politically, I am a strong Republican. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,1,1,27,1,2,2,2,1,white,man,27,extremely liberal,not a very strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 27 years old. Ideologically, I am extremely liberal. Politically, I am not a very strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,74,6,7,1,1,1,white,woman,74,conservative,a strong Republican,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 74 years old. Ideologically, I am conservative. Politically, I am a strong Republican. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,29,2,1,2,1,1,white,woman,29,liberal,a strong Democrat,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 29 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,3,33,4,2,2,2,1,hispanic,woman,33,moderate,not a very strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am hispanic. I am a woman. I am 33 years old. Ideologically, I am moderate. Politically, I am not a very strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,65,1,1,1,2,1,white,woman,65,extremely liberal,a strong Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 65 years old. Ideologically, I am extremely liberal. Politically, I am a strong Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,74,6,3,3,2,2,white,man,74,conservative,an independent Democrat,do not attend church,not very,I never discuss politics with my family or friends.,"Racially, I am white. I am a man. I am 74 years old. Ideologically, I am conservative. Politically, I am an independent Democrat. I do not attend church. I am not very interested in politics. I never discuss politics with my family or friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,37,7,7,2,2,1,white,woman,37,extremely conservative,a strong Republican,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 37 years old. Ideologically, I am extremely conservative. Politically, I am a strong Republican. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,1,1,63,6,7,1,2,1,white,man,63,conservative,a strong Republican,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 63 years old. Ideologically, I am conservative. Politically, I am a strong Republican. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,1,1,71,6,7,2,1,1,white,man,71,conservative,a strong Republican,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 71 years old. Ideologically, I am conservative. Politically, I am a strong Republican. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,1,1,66,4,2,1,1,1,white,man,66,moderate,not a very strong Democrat,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 66 years old. Ideologically, I am moderate. Politically, I am not a very strong Democrat. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,2,28,3,1,2,1,1,black,man,28,slightly liberal,a strong Democrat,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am black. I am a man. I am 28 years old. Ideologically, I am slightly liberal. Politically, I am a strong Democrat. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,67,2,1,2,2,1,white,man,67,liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 67 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,4,39,1,1,2,2,1,asian,woman,39,extremely liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am asian. I am a woman. I am 39 years old. Ideologically, I am extremely liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,54,4,7,2,2,1,white,woman,54,moderate,a strong Republican,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 54 years old. Ideologically, I am moderate. Politically, I am a strong Republican. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,2,59,4,1,1,1,2,black,woman,59,moderate,a strong Democrat,attend church,very,I never discuss politics with my family or friends.,"Racially, I am black. I am a woman. I am 59 years old. Ideologically, I am moderate. Politically, I am a strong Democrat. I attend church. I am very interested in politics. I never discuss politics with my family or friends. In the 2020 presidential election, I voted for ",Joe Biden
2,1,1,22,4,6,3,1,1,white,man,22,moderate,not a very strong Republican,attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 22 years old. Ideologically, I am moderate. Politically, I am not a very strong Republican. I attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,41,1,1,2,1,1,white,woman,41,extremely liberal,a strong Democrat,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 41 years old. Ideologically, I am extremely liberal. Politically, I am a strong Democrat. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,6,26,7,7,3,1,1,mixed race,woman,26,extremely conservative,a strong Republican,attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am mixed race. I am a woman. I am 26 years old. Ideologically, I am extremely conservative. Politically, I am a strong Republican. I attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,6,27,2,1,1,2,1,mixed race,woman,27,liberal,a strong Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am mixed race. I am a woman. I am 27 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,2,66,2,3,2,2,1,black,man,66,liberal,an independent Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am black. I am a man. I am 66 years old. Ideologically, I am liberal. Politically, I am an independent Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,28,3,2,1,1,1,white,woman,28,slightly liberal,not a very strong Democrat,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 28 years old. Ideologically, I am slightly liberal. Politically, I am not a very strong Democrat. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,1,1,36,2,2,1,1,1,white,man,36,liberal,not a very strong Democrat,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 36 years old. Ideologically, I am liberal. Politically, I am not a very strong Democrat. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,50,7,6,4,1,1,white,woman,50,extremely conservative,not a very strong Republican,attend church,not at all,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 50 years old. Ideologically, I am extremely conservative. Politically, I am not a very strong Republican. I attend church. I am not at all interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,1,1,56,5,3,1,2,1,white,man,56,slightly conservative,an independent Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 56 years old. Ideologically, I am slightly conservative. Politically, I am an independent Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,2,1,66,6,7,1,1,1,white,woman,66,conservative,a strong Republican,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 66 years old. Ideologically, I am conservative. Politically, I am a strong Republican. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,1,1,61,6,6,1,1,1,white,man,61,conservative,not a very strong Republican,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 61 years old. Ideologically, I am conservative. Politically, I am not a very strong Republican. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,2,1,41,1,1,1,1,1,white,woman,41,extremely liberal,a strong Democrat,attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 41 years old. Ideologically, I am extremely liberal. Politically, I am a strong Democrat. I attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,68,3,3,2,1,1,white,woman,68,slightly liberal,an independent Democrat,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 68 years old. Ideologically, I am slightly liberal. Politically, I am an independent Democrat. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
2,1,3,48,5,5,1,2,1,hispanic,man,48,slightly conservative,an independent Republican,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am hispanic. I am a man. I am 48 years old. Ideologically, I am slightly conservative. Politically, I am an independent Republican. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,1,1,55,6,7,2,2,1,white,man,55,conservative,a strong Republican,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a man. I am 55 years old. Ideologically, I am conservative. Politically, I am a strong Republican. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,2,1,74,5,7,2,1,1,white,woman,74,slightly conservative,a strong Republican,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 74 years old. Ideologically, I am slightly conservative. Politically, I am a strong Republican. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
2,2,1,48,4,5,3,2,1,white,woman,48,moderate,an independent Republican,do not attend church,not very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 48 years old. Ideologically, I am moderate. Politically, I am an independent Republican. I do not attend church. I am not very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Donald Trump
1,1,3,60,2,1,2,1,2,hispanic,man,60,liberal,a strong Democrat,attend church,somewhat,I never discuss politics with my family or friends.,"Racially, I am hispanic. I am a man. I am 60 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I attend church. I am somewhat interested in politics. I never discuss politics with my family or friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,6,56,4,4,2,2,1,mixed race,woman,56,moderate,an independent,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am mixed race. I am a woman. I am 56 years old. Ideologically, I am moderate. Politically, I am an independent. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,24,2,2,2,2,1,white,woman,24,liberal,not a very strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 24 years old. Ideologically, I am liberal. Politically, I am not a very strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,38,2,1,2,2,1,white,woman,38,liberal,a strong Democrat,do not attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 38 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I do not attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,32,2,3,1,2,1,white,woman,32,liberal,an independent Democrat,do not attend church,very,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 32 years old. Ideologically, I am liberal. Politically, I am an independent Democrat. I do not attend church. I am very interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
1,2,1,52,2,1,2,1,1,white,woman,52,liberal,a strong Democrat,attend church,somewhat,I like to discuss politics with my family and friends.,"Racially, I am white. I am a woman. I am 52 years old. Ideologically, I am liberal. Politically, I am a strong Democrat. I attend church. I am somewhat interested in politics. I like to discuss politics with my family and friends. In the 2020 presidential election, I voted for ",Joe Biden
