vote_choice,gender,race,age,ideology,pol_interest,church_attendance,race_text,gender_text,age_text,ideology_text,church_attendance_text,pol_interest_text,user_content,assistant_content
1,2,2,43,6,2,1,black,woman,43,conservative,attend church,somewhat,"Racially, I am black. I am a woman. I am 43 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Kamala Harris
2,2,1,42,6,1,1,white,woman,42,conservative,attend church,very,"Racially, I am white. I am a woman. I am 42 years old. Ideologically, I am conservative. I attend church. I am very interested in politics. ",Donald Trump
2,1,1,65,6,2,1,white,man,65,conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 65 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,41,2,1,2,white,woman,41,liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 41 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,33,2,2,2,white,woman,33,liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 33 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,1,62,3,1,2,white,woman,62,slightly liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 62 years old. Ideologically, I am slightly liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,1,1,63,4,1,1,white,man,63,moderate,attend church,very,"Racially, I am white. I am a man. I am 63 years old. Ideologically, I am moderate. I attend church. I am very interested in politics. ",Kamala Harris
1,2,1,77,2,2,1,white,woman,77,liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 77 years old. Ideologically, I am liberal. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,80,2,1,2,white,man,80,liberal,do not attend church,very,"Racially, I am white. I am a man. I am 80 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,52,2,2,1,white,woman,52,liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 52 years old. Ideologically, I am liberal. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,1,26,2,2,2,white,woman,26,liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 26 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,80,3,1,1,white,man,80,slightly liberal,attend church,very,"Racially, I am white. I am a man. I am 80 years old. Ideologically, I am slightly liberal. I attend church. I am very interested in politics. ",Kamala Harris
2,1,1,35,5,2,2,white,man,35,slightly conservative,do not attend church,somewhat,"Racially, I am white. I am a man. I am 35 years old. Ideologically, I am slightly conservative. I do not attend church. I am somewhat interested in politics. ",Donald Trump
2,2,1,60,4,3,2,white,woman,60,moderate,do not attend church,not very,"Racially, I am white. I am a woman. I am 60 years old. Ideologically, I am moderate. I do not attend church. I am not very interested in politics. ",Donald Trump
1,1,1,61,2,2,2,white,man,61,liberal,do not attend church,somewhat,"Racially, I am white. I am a man. I am 61 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,48,4,3,2,white,man,48,moderate,do not attend church,not very,"Racially, I am white. I am a man. I am 48 years old. Ideologically, I am moderate. I do not attend church. I am not very interested in politics. ",Donald Trump
1,2,1,29,2,2,2,white,woman,29,liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 29 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,1,65,3,2,2,white,woman,65,slightly liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 65 years old. Ideologically, I am slightly liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,2,1,78,7,2,2,white,woman,78,extremely conservative,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 78 years old. Ideologically, I am extremely conservative. I do not attend church. I am somewhat interested in politics. ",Donald Trump
2,1,1,76,5,2,1,white,man,76,slightly conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 76 years old. Ideologically, I am slightly conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,2,3,80,3,1,1,hispanic,woman,80,slightly liberal,attend church,very,"Racially, I am hispanic. I am a woman. I am 80 years old. Ideologically, I am slightly liberal. I attend church. I am very interested in politics. ",Kamala Harris
1,1,1,75,2,2,2,white,man,75,liberal,do not attend church,somewhat,"Racially, I am white. I am a man. I am 75 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,2,68,4,2,1,black,man,68,moderate,attend church,somewhat,"Racially, I am black. I am a man. I am 68 years old. Ideologically, I am moderate. I attend church. I am somewhat interested in politics. ",Donald Trump
2,2,1,76,4,3,1,white,woman,76,moderate,attend church,not very,"Racially, I am white. I am a woman. I am 76 years old. Ideologically, I am moderate. I attend church. I am not very interested in politics. ",Donald Trump
1,1,1,54,4,3,2,white,man,54,moderate,do not attend church,not very,"Racially, I am white. I am a man. I am 54 years old. Ideologically, I am moderate. I do not attend church. I am not very interested in politics. ",Kamala Harris
2,2,1,61,7,2,1,white,woman,61,extremely conservative,attend church,somewhat,"Racially, I am white. I am a woman. I am 61 years old. Ideologically, I am extremely conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
2,1,1,74,4,2,2,white,man,74,moderate,do not attend church,somewhat,"Racially, I am white. I am a man. I am 74 years old. Ideologically, I am moderate. I do not attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,60,2,2,2,white,woman,60,liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 60 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,42,2,1,2,white,man,42,liberal,do not attend church,very,"Racially, I am white. I am a man. I am 42 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,38,4,1,1,white,woman,38,moderate,attend church,very,"Racially, I am white. I am a woman. I am 38 years old. Ideologically, I am moderate. I attend church. I am very interested in politics. ",Kamala Harris
1,2,1,35,2,2,1,white,woman,35,liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 35 years old. Ideologically, I am liberal. I attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,53,6,1,1,white,man,53,conservative,attend church,very,"Racially, I am white. I am a man. I am 53 years old. Ideologically, I am conservative. I attend church. I am very interested in politics. ",Kamala Harris
2,1,1,70,6,1,2,white,man,70,conservative,do not attend church,very,"Racially, I am white. I am a man. I am 70 years old. Ideologically, I am conservative. I do not attend church. I am very interested in politics. ",Donald Trump
1,1,1,73,4,4,1,white,man,73,moderate,attend church,not at all,"Racially, I am white. I am a man. I am 73 years old. Ideologically, I am moderate. I attend church. I am not at all interested in politics. ",Kamala Harris
1,2,1,43,5,4,1,white,woman,43,slightly conservative,attend church,not at all,"Racially, I am white. I am a woman. I am 43 years old. Ideologically, I am slightly conservative. I attend church. I am not at all interested in politics. ",Kamala Harris
1,1,1,76,2,1,2,white,man,76,liberal,do not attend church,very,"Racially, I am white. I am a man. I am 76 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
2,1,3,48,5,1,1,hispanic,man,48,slightly conservative,attend church,very,"Racially, I am hispanic. I am a man. I am 48 years old. Ideologically, I am slightly conservative. I attend church. I am very interested in politics. ",Donald Trump
1,1,1,50,4,1,1,white,man,50,moderate,attend church,very,"Racially, I am white. I am a man. I am 50 years old. Ideologically, I am moderate. I attend church. I am very interested in politics. ",Kamala Harris
2,1,1,71,6,2,1,white,man,71,conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 71 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,71,4,2,2,white,woman,71,moderate,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 71 years old. Ideologically, I am moderate. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,2,40,3,1,2,black,woman,40,slightly liberal,do not attend church,very,"Racially, I am black. I am a woman. I am 40 years old. Ideologically, I am slightly liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,40,2,1,1,white,woman,40,liberal,attend church,very,"Racially, I am white. I am a woman. I am 40 years old. Ideologically, I am liberal. I attend church. I am very interested in politics. ",Kamala Harris
2,1,1,20,5,2,1,white,man,20,slightly conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 20 years old. Ideologically, I am slightly conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,45,1,1,2,white,woman,45,extremely liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 45 years old. Ideologically, I am extremely liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,1,3,34,3,2,2,hispanic,man,34,slightly liberal,do not attend church,somewhat,"Racially, I am hispanic. I am a man. I am 34 years old. Ideologically, I am slightly liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,2,1,40,6,2,1,white,woman,40,conservative,attend church,somewhat,"Racially, I am white. I am a woman. I am 40 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,29,3,3,1,white,woman,29,slightly liberal,attend church,not very,"Racially, I am white. I am a woman. I am 29 years old. Ideologically, I am slightly liberal. I attend church. I am not very interested in politics. ",Kamala Harris
1,2,1,80,1,1,2,white,woman,80,extremely liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 80 years old. Ideologically, I am extremely liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
2,1,1,59,6,2,1,white,man,59,conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 59 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,1,2,69,4,1,1,black,man,69,moderate,attend church,very,"Racially, I am black. I am a man. I am 69 years old. Ideologically, I am moderate. I attend church. I am very interested in politics. ",Kamala Harris
2,1,1,48,6,2,1,white,man,48,conservative,attend church,somewhat,"Racially, I am white. I am a man. I am 48 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,80,5,2,1,white,woman,80,slightly conservative,attend church,somewhat,"Racially, I am white. I am a woman. I am 80 years old. Ideologically, I am slightly conservative. I attend church. I am somewhat interested in politics. ",Kamala Harris
2,2,1,38,3,2,1,white,woman,38,slightly liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 38 years old. Ideologically, I am slightly liberal. I attend church. I am somewhat interested in politics. ",Donald Trump
2,2,1,58,6,2,1,white,woman,58,conservative,attend church,somewhat,"Racially, I am white. I am a woman. I am 58 years old. Ideologically, I am conservative. I attend church. I am somewhat interested in politics. ",Donald Trump
1,1,1,61,1,1,2,white,man,61,extremely liberal,do not attend church,very,"Racially, I am white. I am a man. I am 61 years old. Ideologically, I am extremely liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,2,56,2,1,1,black,woman,56,liberal,attend church,very,"Racially, I am black. I am a woman. I am 56 years old. Ideologically, I am liberal. I attend church. I am very interested in politics. ",Kamala Harris
2,2,1,47,4,2,2,white,woman,47,moderate,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 47 years old. Ideologically, I am moderate. I do not attend church. I am somewhat interested in politics. ",Donald Trump
1,2,1,56,2,2,1,white,woman,56,liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 56 years old. Ideologically, I am liberal. I attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,75,4,3,1,white,man,75,moderate,attend church,not very,"Racially, I am white. I am a man. I am 75 years old. Ideologically, I am moderate. I attend church. I am not very interested in politics. ",Donald Trump
1,2,3,65,2,2,2,hispanic,woman,65,liberal,do not attend church,somewhat,"Racially, I am hispanic. I am a woman. I am 65 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,3,68,2,1,2,hispanic,woman,68,liberal,do not attend church,very,"Racially, I am hispanic. I am a woman. I am 68 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,1,1,72,4,2,2,white,man,72,moderate,do not attend church,somewhat,"Racially, I am white. I am a man. I am 72 years old. Ideologically, I am moderate. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,2,1,45,3,2,1,white,woman,45,slightly liberal,attend church,somewhat,"Racially, I am white. I am a woman. I am 45 years old. Ideologically, I am slightly liberal. I attend church. I am somewhat interested in politics. ",Donald Trump
1,1,1,45,3,2,2,white,man,45,slightly liberal,do not attend church,somewhat,"Racially, I am white. I am a man. I am 45 years old. Ideologically, I am slightly liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,1,1,45,3,1,2,white,man,45,slightly liberal,do not attend church,very,"Racially, I am white. I am a man. I am 45 years old. Ideologically, I am slightly liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
1,2,1,45,2,2,2,white,woman,45,liberal,do not attend church,somewhat,"Racially, I am white. I am a woman. I am 45 years old. Ideologically, I am liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
1,2,1,69,2,1,2,white,woman,69,liberal,do not attend church,very,"Racially, I am white. I am a woman. I am 69 years old. Ideologically, I am liberal. I do not attend church. I am very interested in politics. ",Kamala Harris
2,2,1,71,7,1,1,white,woman,71,extremely conservative,attend church,very,"Racially, I am white. I am a woman. I am 71 years old. Ideologically, I am extremely conservative. I attend church. I am very interested in politics. ",Donald Trump
1,1,2,24,4,4,1,black,man,24,moderate,attend church,not at all,"Racially, I am black. I am a man. I am 24 years old. Ideologically, I am moderate. I attend church. I am not at all interested in politics. ",Kamala Harris
1,1,1,46,1,2,2,white,man,46,extremely liberal,do not attend church,somewhat,"Racially, I am white. I am a man. I am 46 years old. Ideologically, I am extremely liberal. I do not attend church. I am somewhat interested in politics. ",Kamala Harris
2,1,1,31,3,3,2,white,man,31,slightly liberal,do not attend church,not very,"Racially, I am white. I am a man. I am 31 years old. Ideologically, I am slightly liberal. I do not attend church. I am not very interested in politics. ",Donald Trump
2,2,1,38,6,3,1,white,woman,38,conservative,attend church,not very,"Racially, I am white. I am a woman. I am 38 years old. Ideologically, I am conservative. I attend church. I am not very interested in politics. ",Donald Trump
1,1,1,76,5,3,2,white,man,76,slightly conservative,do not attend church,not very,"Racially, I am white. I am a man. I am 76 years old. Ideologically, I am slightly conservative. I do not attend church. I am not very interested in politics. ",Kamala Harris
